Cryptocurrency_1,Cryptocurrency_2,Mean_Difference,T_Statistic,P_Value,Significant,Test_Method
BCH/USDT - Buy and Hold,BTC/USDT - Buy and Hold,-0.0552,-2.2527,0.1531,No,Pairwise t-test
BCH/USDT - Buy and Hold,DASH/USDT - Buy and Hold,-0.0023,-0.1281,0.9098,No,Pairwise t-test
BCH/USDT - Buy and Hold,DASH/USDT - LinearRegression,-0.0023,-0.1281,0.9098,No,Pairwise t-test
BCH/USDT - Buy and Hold,DASH/USDT - MLPRegressor,-0.0023,-0.1281,0.9098,No,Pairwise t-test
BCH/USDT - Buy and Hold,DASH/USDT - PolynomialRegression_degree_3,-0.0023,-0.1281,0.9098,No,Pairwise t-test
BCH/USDT - Buy and Hold,EOS/USDT - Buy and Hold,-0.0164,-0.6018,0.6084,No,Pairwise t-test
BCH/USDT - Buy and Hold,ETC/USDT - Buy and Hold,0.0038,0.2253,0.8427,No,Pairwise t-test
BCH/USDT - Buy and Hold,ETH/USDT - Buy and Hold,0.0152,0.9154,0.4566,No,Pairwise t-test
BCH/USDT - Buy and Hold,LTC/USDT - Buy and Hold,-0.0014,-0.0828,0.9415,No,Pairwise t-test
BCH/USDT - Buy and Hold,LTC/USDT - PolynomialRegression_degree_3,-0.0014,-0.0828,0.9415,No,Pairwise t-test
BCH/USDT - Buy and Hold,XMR/USDT - Buy and Hold,-0.0295,-1.6974,0.2317,No,Pairwise t-test
BCH/USDT - Buy and Hold,XMR/USDT - LinearRegression,-0.0295,-1.6974,0.2317,No,Pairwise t-test
BCH/USDT - Buy and Hold,XMR/USDT - MLPRegressor,-0.0295,-1.6974,0.2317,No,Pairwise t-test
BCH/USDT - Buy and Hold,XMR/USDT - PolynomialRegression_degree_2,-0.0295,-1.6974,0.2317,No,Pairwise t-test
BCH/USDT - Buy and Hold,XMR/USDT - PolynomialRegression_degree_3,-0.0295,-1.6974,0.2317,No,Pairwise t-test
BCH/USDT - Buy and Hold,XRP/USDT - Buy and Hold,-0.0065,-0.3867,0.7363,No,Pairwise t-test
BCH/USDT - Buy and Hold,ZRX/USDT - Buy and Hold,0.0067,0.3802,0.7404,No,Pairwise t-test
BCH/USDT - Buy and Hold,ZRX/USDT - MLPRegressor,0.0067,0.3802,0.7404,No,Pairwise t-test
BTC/USDT - Buy and Hold,DASH/USDT - Buy and Hold,0.0529,2.6786,0.1157,No,Pairwise t-test
BTC/USDT - Buy and Hold,DASH/USDT - LinearRegression,0.0529,2.6786,0.1157,No,Pairwise t-test
BTC/USDT - Buy and Hold,DASH/USDT - MLPRegressor,0.0529,2.6786,0.1157,No,Pairwise t-test
BTC/USDT - Buy and Hold,DASH/USDT - PolynomialRegression_degree_3,0.0529,2.6786,0.1157,No,Pairwise t-test
BTC/USDT - Buy and Hold,EOS/USDT - Buy and Hold,0.0388,1.3767,0.3025,No,Pairwise t-test
