symbol,desvio_padrao,variancia,coef_variacao,amplitude,amplitude_interquartil,semi_iqr,desvio_medio_absoluto,media,q1,q3
DASH/USDT,154.32,23815.76,143.82,1427.96,104.10,52.05,94.34,107.30,24.63,128.73
XRP/USDT,0.57,0.32,114.00,3.29,0.40,0.20,0.37,0.50,0.19,0.59
BTC/USDT,27131.78,736133222.06,112.90,111321.27,34890.49,17445.24,21819.32,24031.83,3601.33,38491.82
ETH/USDT,1238.11,1532926.79,102.10,4807.87,1918.99,959.50,1084.88,1212.63,164.90,2083.89
LTC/USDT,59.30,3516.72,80.48,388.05,55.72,27.86,43.45,73.68,39.58,95.30
ETC/USDT,14.11,199.19,78.13,101.38,17.68,8.84,10.45,18.06,6.34,24.02
BCH/USDT,353.13,124703.01,77.28,3620.28,190.73,95.36,206.13,456.96,292.90,483.63
XMR/USDT,91.87,8440.98,76.56,484.22,121.57,60.78,74.86,120.00,46.38,167.95
ZRX/USDT,0.35,0.12,76.09,2.16,0.28,0.14,0.25,0.46,0.25,0.53
EOS/USDT,1.86,3.45,74.70,14.09,2.80,1.40,1.50,2.49,0.84,3.64
