Cryptocurrency_1,Cryptocurrency_2,Mean_Difference,T_Statistic,P_Value,Significant,Test_Method
BCH/USDT,BTC/USDT,0.0327,3.4835,0.0010,Yes,Pairwise t-test
BCH/USDT,DASH/USDT,0.0466,5.5738,0.0000,Yes,Pairwise t-test
BCH/USDT,EOS/USDT,0.0491,3.5022,0.0010,Yes,Pairwise t-test
BCH/USDT,ETC/USDT,0.0458,5.0975,0.0000,Yes,Pairwise t-test
BCH/USDT,ETH/USDT,0.0510,5.7145,0.0000,Yes,Pairwise t-test
BCH/USDT,LTC/USDT,0.0425,4.6607,0.0000,Yes,Pairwise t-test
BCH/USDT,XMR/USDT,0.0350,4.0318,0.0002,Yes,Pairwise t-test
BCH/USDT,XRP/USDT,0.0382,3.8145,0.0004,Yes,Pairwise t-test
BCH/USDT,ZRX/USDT,0.0503,5.5494,0.0000,Yes,Pairwise t-test
BTC/USDT,DASH/USDT,0.0139,3.3386,0.0014,Yes,Pairwise t-test
BTC/USDT,EOS/USDT,0.0165,1.5761,0.1203,No,Pairwise t-test
BTC/USDT,ETC/USDT,0.0131,2.7818,0.0072,Yes,Pairwise t-test
BTC/USDT,ETH/USDT,0.0183,3.8510,0.0003,Yes,Pairwise t-test
BTC/USDT,LTC/USDT,0.0098,2.0590,0.0438,Yes,Pairwise t-test
BTC/USDT,XMR/USDT,0.0023,0.5187,0.6058,No,Pairwise t-test
BTC/USDT,XRP/USDT,0.0055,1.0086,0.3175,No,Pairwise t-test
BTC/USDT,ZRX/USDT,0.0177,3.6489,0.0005,Yes,Pairwise t-test
DASH/USDT,EOS/USDT,0.0026,0.2696,0.7883,No,Pairwise t-test
DASH/USDT,ETC/USDT,-0.0008,-0.2193,0.8271,No,Pairwise t-test
DASH/USDT,ETH/USDT,0.0044,1.1752,0.2441,No,Pairwise t-test
DASH/USDT,LTC/USDT,-0.0041,-1.0832,0.2828,No,Pairwise t-test
DASH/USDT,XMR/USDT,-0.0116,-3.4736,0.0009,Yes,Pairwise t-test
DASH/USDT,XRP/USDT,-0.0084,-1.9264,0.0588,No,Pairwise t-test
DASH/USDT,ZRX/USDT,0.0038,0.9802,0.3306,No,Pairwise t-test
EOS/USDT,ETC/USDT,-0.0034,-0.3337,0.7398,No,Pairwise t-test
EOS/USDT,ETH/USDT,0.0019,0.1889,0.8508,No,Pairwise t-test
EOS/USDT,LTC/USDT,-0.0066,-0.6454,0.5212,No,Pairwise t-test
EOS/USDT,XMR/USDT,-0.0142,-1.4449,0.1536,No,Pairwise t-test
EOS/USDT,XRP/USDT,-0.0110,-0.9836,0.3296,No,Pairwise t-test
EOS/USDT,ZRX/USDT,0.0012,0.1194,0.9053,No,Pairwise t-test
ETC/USDT,ETH/USDT,0.0053,1.2175,0.2279,No,Pairwise t-test
ETC/USDT,LTC/USDT,-0.0033,-0.7548,0.4532,No,Pairwise t-test
ETC/USDT,XMR/USDT,-0.0108,-2.7716,0.0073,Yes,Pairwise t-test
ETC/USDT,XRP/USDT,-0.0076,-1.5353,0.1302,No,Pairwise t-test
ETC/USDT,ZRX/USDT,0.0046,1.0437,0.3007,No,Pairwise t-test
ETH/USDT,LTC/USDT,-0.0085,-1.9408,0.0568,No,Pairwise t-test
ETH/USDT,XMR/USDT,-0.0161,-4.0278,0.0002,Yes,Pairwise t-test
ETH/USDT,XRP/USDT,-0.0129,-2.5620,0.0130,Yes,Pairwise t-test
ETH/USDT,ZRX/USDT,-0.0007,-0.1516,0.8800,No,Pairwise t-test
LTC/USDT,XMR/USDT,-0.0076,-1.9097,0.0608,No,Pairwise t-test
LTC/USDT,XRP/USDT,-0.0044,-0.8656,0.3904,No,Pairwise t-test
LTC/USDT,ZRX/USDT,0.0078,1.7574,0.0839,No,Pairwise t-test
XMR/USDT,XRP/USDT,0.0032,0.6985,0.4876,No,Pairwise t-test
XMR/USDT,ZRX/USDT,0.0154,3.7950,0.0003,Yes,Pairwise t-test
XRP/USDT,ZRX/USDT,0.0122,2.3879,0.0203,Yes,Pairwise t-test
