symbol,std_dev,variance,coef_variation,range,q1,q3,iqr
BCH/USDT,353.13,124703.01,77.28,3620.28,292.90,483.63,190.73
BTC/USDT,27131.78,736133222.06,112.90,111321.27,3601.33,38491.82,34890.49
DASH/USDT,154.32,23815.76,143.82,1427.96,24.63,128.73,104.10
EOS/USDT,1.86,3.45,74.80,14.09,0.84,3.64,2.80
ETC/USDT,14.11,199.19,78.14,101.38,6.34,24.02,17.68
ETH/USDT,1238.11,1532926.79,102.10,4807.87,164.90,2083.89,1918.99
LTC/USDT,59.30,3516.72,80.48,388.05,39.58,95.30,55.72
XMR/USDT,91.87,8440.98,76.56,484.22,46.38,167.95,121.57
XRP/USDT,0.57,0.32,113.10,3.29,0.19,0.59,0.40
ZRX/USDT,0.35,0.12,75.84,2.16,0.25,0.53,0.28
