symbol,strategy,initial_value,final_value,return_pct
BCH/USDT,LinearRegression,1000.0,1173.79,0.1738
BCH/USDT,MLPRegressor,1000.0,1222.0,0.222
BCH/USDT,PolynomialRegression_degree_2,1000.0,1157.54,0.1575
BCH/USDT,PolynomialRegression_degree_3,1000.0,1222.0,0.222
BCH/USDT,Buy and Hold,1000.0,1101.86,0.1019
BTC/USDT,LinearRegression,1000.0,1016.44,0.0164
BTC/USDT,MLPRegressor,1000.0,1016.44,0.0164
BTC/USDT,PolynomialRegression_degree_2,1000.0,1016.44,0.0164
BTC/USDT,PolynomialRegression_degree_3,1000.0,1017.61,0.0176
BTC/USDT,Buy and Hold,1000.0,1003.99,0.004
DASH/USDT,LinearRegression,1000.0,897.29,-0.1027
DASH/USDT,MLPRegressor,1000.0,909.62,-0.0904
DASH/USDT,PolynomialRegression_degree_2,1000.0,974.87,-0.0251
DASH/USDT,PolynomialRegression_degree_3,1000.0,921.03,-0.079
DASH/USDT,Buy and Hold,1000.0,909.62,-0.0904
EOS/USDT,LinearRegression,1000.0,920.5,-0.0795
EOS/USDT,MLPRegressor,1000.0,920.5,-0.0795
EOS/USDT,PolynomialRegression_degree_2,1000.0,920.5,-0.0795
EOS/USDT,PolynomialRegression_degree_3,1000.0,931.77,-0.0682
EOS/USDT,Buy and Hold,1000.0,862.37,-0.1376
ETC/USDT,LinearRegression,1000.0,957.66,-0.0423
ETC/USDT,MLPRegressor,1000.0,932.32,-0.0677
ETC/USDT,PolynomialRegression_degree_2,1000.0,932.32,-0.0677
ETC/USDT,PolynomialRegression_degree_3,1000.0,932.32,-0.0677
ETC/USDT,Buy and Hold,1000.0,911.57,-0.0884
ETH/USDT,LinearRegression,1000.0,906.62,-0.0934
ETH/USDT,MLPRegressor,1000.0,906.62,-0.0934
ETH/USDT,PolynomialRegression_degree_2,1000.0,906.62,-0.0934
ETH/USDT,PolynomialRegression_degree_3,1000.0,906.62,-0.0934
ETH/USDT,Buy and Hold,1000.0,868.47,-0.1315
LTC/USDT,LinearRegression,1000.0,973.38,-0.0266
LTC/USDT,MLPRegressor,1000.0,945.93,-0.0541
LTC/USDT,PolynomialRegression_degree_2,1000.0,973.38,-0.0266
LTC/USDT,PolynomialRegression_degree_3,1000.0,948.54,-0.0515
LTC/USDT,Buy and Hold,1000.0,931.47,-0.0685
XMR/USDT,LinearRegression,1000.0,1008.88,0.0089
XMR/USDT,MLPRegressor,1000.0,1008.88,0.0089
XMR/USDT,PolynomialRegression_degree_2,1000.0,1008.88,0.0089
XMR/USDT,PolynomialRegression_degree_3,1000.0,1008.88,0.0089
XMR/USDT,Buy and Hold,1000.0,967.94,-0.0321
XRP/USDT,LinearRegression,1000.0,994.49,-0.0055
XRP/USDT,MLPRegressor,1000.0,988.86,-0.0111
XRP/USDT,PolynomialRegression_degree_2,1000.0,994.49,-0.0055
XRP/USDT,PolynomialRegression_degree_3,1000.0,994.49,-0.0055
XRP/USDT,Buy and Hold,1000.0,942.05,-0.0579
ZRX/USDT,LinearRegression,1000.0,935.37,-0.0646
ZRX/USDT,MLPRegressor,1000.0,876.85,-0.1232
ZRX/USDT,PolynomialRegression_degree_2,1000.0,935.37,-0.0646
ZRX/USDT,PolynomialRegression_degree_3,1000.0,904.87,-0.0951
ZRX/USDT,Buy and Hold,1000.0,878.03,-0.122
