date,symbol,strategy,current_price,predicted_price,next_price,investment_made,capital_before,capital_invested,capital_after,capital_gained,return_pct
2025-06-12,BCH/USDT,LinearRegression,424.0,437.12,448.68,Yes,1000.0,1000.0,1058.21,58.21,0.0582
2025-06-13,BCH/USDT,LinearRegression,448.68,450.5,430.98,Yes,1058.21,1058.21,1016.46,-41.75,-0.0394
2025-06-14,BCH/USDT,LinearRegression,430.98,438.73,460.33,Yes,1016.46,1016.46,1085.68,69.22,0.0681
2025-06-15,BCH/USDT,LinearRegression,460.33,457.89,463.77,No,1085.68,0.0,1085.68,0.0,0.0
2025-06-16,BCH/USDT,LinearRegression,463.77,458.52,462.51,No,1085.68,0.0,1085.68,0.0,0.0
2025-06-17,BCH/USDT,LinearRegression,462.51,455.68,459.75,No,1085.68,0.0,1085.68,0.0,0.0
2025-06-18,BCH/USDT,LinearRegression,459.75,463.03,497.06,Yes,1085.68,1085.68,1173.79,88.11,0.0812
2025-06-19,BCH/USDT,LinearRegression,497.06,491.93,473.75,No,1173.79,0.0,1173.79,0.0,0.0
2025-06-20,BCH/USDT,LinearRegression,473.75,473.63,467.19,No,1173.79,0.0,1173.79,0.0,0.0
2025-06-12,BCH/USDT,MLPRegressor,424.0,432.71,448.68,Yes,1000.0,1000.0,1058.21,58.21,0.0582
2025-06-13,BCH/USDT,MLPRegressor,448.68,446.23,430.98,No,1058.21,0.0,1058.21,0.0,0.0
2025-06-14,BCH/USDT,MLPRegressor,430.98,438.01,460.33,Yes,1058.21,1058.21,1130.27,72.06,0.0681
2025-06-15,BCH/USDT,MLPRegressor,460.33,454.46,463.77,No,1130.27,0.0,1130.27,0.0,0.0
2025-06-16,BCH/USDT,MLPRegressor,463.77,454.71,462.51,No,1130.27,0.0,1130.27,0.0,0.0
2025-06-17,BCH/USDT,MLPRegressor,462.51,453.18,459.75,No,1130.27,0.0,1130.27,0.0,0.0
2025-06-18,BCH/USDT,MLPRegressor,459.75,460.75,497.06,Yes,1130.27,1130.27,1222.0,91.72,0.0812
2025-06-19,BCH/USDT,MLPRegressor,497.06,487.24,473.75,No,1222.0,0.0,1222.0,0.0,0.0
2025-06-20,BCH/USDT,MLPRegressor,473.75,473.03,467.19,No,1222.0,0.0,1222.0,0.0,0.0
2025-06-12,BCH/USDT,PolynomialRegression_degree_2,424.0,437.88,448.68,Yes,1000.0,1000.0,1058.21,58.21,0.0582
2025-06-13,BCH/USDT,PolynomialRegression_degree_2,448.68,450.6,430.98,Yes,1058.21,1058.21,1016.46,-41.75,-0.0394
2025-06-14,BCH/USDT,PolynomialRegression_degree_2,430.98,438.21,460.33,Yes,1016.46,1016.46,1085.68,69.22,0.0681
2025-06-15,BCH/USDT,PolynomialRegression_degree_2,460.33,456.56,463.77,No,1085.68,0.0,1085.68,0.0,0.0
2025-06-16,BCH/USDT,PolynomialRegression_degree_2,463.77,458.9,462.51,No,1085.68,0.0,1085.68,0.0,0.0
2025-06-17,BCH/USDT,PolynomialRegression_degree_2,462.51,457.17,459.75,No,1085.68,0.0,1085.68,0.0,0.0
2025-06-18,BCH/USDT,PolynomialRegression_degree_2,459.75,463.81,497.06,Yes,1085.68,1085.68,1173.79,88.11,0.0812
2025-06-19,BCH/USDT,PolynomialRegression_degree_2,497.06,491.88,473.75,No,1173.79,0.0,1173.79,0.0,0.0
2025-06-20,BCH/USDT,PolynomialRegression_degree_2,473.75,475.21,467.19,Yes,1173.79,1173.79,1157.54,-16.25,-0.0138
2025-06-12,BCH/USDT,PolynomialRegression_degree_3,424.0,434.49,448.68,Yes,1000.0,1000.0,1058.21,58.21,0.0582
2025-06-13,BCH/USDT,PolynomialRegression_degree_3,448.68,446.72,430.98,No,1058.21,0.0,1058.21,0.0,0.0
2025-06-14,BCH/USDT,PolynomialRegression_degree_3,430.98,437.19,460.33,Yes,1058.21,1058.21,1130.27,72.06,0.0681
2025-06-15,BCH/USDT,PolynomialRegression_degree_3,460.33,453.79,463.77,No,1130.27,0.0,1130.27,0.0,0.0
2025-06-16,BCH/USDT,PolynomialRegression_degree_3,463.77,455.29,462.51,No,1130.27,0.0,1130.27,0.0,0.0
2025-06-17,BCH/USDT,PolynomialRegression_degree_3,462.51,453.76,459.75,No,1130.27,0.0,1130.27,0.0,0.0
2025-06-18,BCH/USDT,PolynomialRegression_degree_3,459.75,460.73,497.06,Yes,1130.27,1130.27,1222.0,91.72,0.0812
2025-06-19,BCH/USDT,PolynomialRegression_degree_3,497.06,486.46,473.75,No,1222.0,0.0,1222.0,0.0,0.0
2025-06-20,BCH/USDT,PolynomialRegression_degree_3,473.75,471.97,467.19,No,1222.0,0.0,1222.0,0.0,0.0
2025-06-12,BCH/USDT,PolynomialRegression_degree_4,424.0,437.04,448.68,Yes,1000.0,1000.0,1058.21,58.21,0.0582
2025-06-13,BCH/USDT,PolynomialRegression_degree_4,448.68,449.74,430.98,Yes,1058.21,1058.21,1016.46,-41.75,-0.0394
2025-06-14,BCH/USDT,PolynomialRegression_degree_4,430.98,438.54,460.33,Yes,1016.46,1016.46,1085.68,69.22,0.0681
2025-06-15,BCH/USDT,PolynomialRegression_degree_4,460.33,455.79,463.77,No,1085.68,0.0,1085.68,0.0,0.0
2025-06-16,BCH/USDT,PolynomialRegression_degree_4,463.77,457.56,462.51,No,1085.68,0.0,1085.68,0.0,0.0
2025-06-17,BCH/USDT,PolynomialRegression_degree_4,462.51,455.83,459.75,No,1085.68,0.0,1085.68,0.0,0.0
2025-06-18,BCH/USDT,PolynomialRegression_degree_4,459.75,462.73,497.06,Yes,1085.68,1085.68,1173.79,88.11,0.0812
2025-06-19,BCH/USDT,PolynomialRegression_degree_4,497.06,490.1,473.75,No,1173.79,0.0,1173.79,0.0,0.0
2025-06-20,BCH/USDT,PolynomialRegression_degree_4,473.75,474.01,467.19,Yes,1173.79,1173.79,1157.54,-16.25,-0.0138
2025-06-12,BCH/USDT,PolynomialRegression_degree_5,424.0,420.95,448.68,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-13,BCH/USDT,PolynomialRegression_degree_5,448.68,433.28,430.98,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-14,BCH/USDT,PolynomialRegression_degree_5,430.98,429.74,460.33,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-15,BCH/USDT,PolynomialRegression_degree_5,460.33,444.0,463.77,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-16,BCH/USDT,PolynomialRegression_degree_5,463.77,447.46,462.51,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-17,BCH/USDT,PolynomialRegression_degree_5,462.51,447.69,459.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-18,BCH/USDT,PolynomialRegression_degree_5,459.75,454.35,497.06,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-19,BCH/USDT,PolynomialRegression_degree_5,497.06,477.72,473.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-20,BCH/USDT,PolynomialRegression_degree_5,473.75,468.06,467.19,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-12,BCH/USDT,PolynomialRegression_degree_6,424.0,369.73,448.68,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-13,BCH/USDT,PolynomialRegression_degree_6,448.68,387.23,430.98,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-14,BCH/USDT,PolynomialRegression_degree_6,430.98,377.95,460.33,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-15,BCH/USDT,PolynomialRegression_degree_6,460.33,393.38,463.77,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-16,BCH/USDT,PolynomialRegression_degree_6,463.77,384.79,462.51,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-17,BCH/USDT,PolynomialRegression_degree_6,462.51,376.09,459.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-18,BCH/USDT,PolynomialRegression_degree_6,459.75,386.75,497.06,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-19,BCH/USDT,PolynomialRegression_degree_6,497.06,421.12,473.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-20,BCH/USDT,PolynomialRegression_degree_6,473.75,384.92,467.19,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-12,BCH/USDT,PolynomialRegression_degree_7,424.0,360.82,448.68,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-13,BCH/USDT,PolynomialRegression_degree_7,448.68,366.58,430.98,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-14,BCH/USDT,PolynomialRegression_degree_7,430.98,363.62,460.33,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-15,BCH/USDT,PolynomialRegression_degree_7,460.33,370.06,463.77,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-16,BCH/USDT,PolynomialRegression_degree_7,463.77,368.27,462.51,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-17,BCH/USDT,PolynomialRegression_degree_7,462.51,365.35,459.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-18,BCH/USDT,PolynomialRegression_degree_7,459.75,369.1,497.06,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-19,BCH/USDT,PolynomialRegression_degree_7,497.06,383.92,473.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-20,BCH/USDT,PolynomialRegression_degree_7,473.75,369.95,467.19,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-12,BCH/USDT,PolynomialRegression_degree_8,424.0,363.59,448.68,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-13,BCH/USDT,PolynomialRegression_degree_8,448.68,365.44,430.98,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-14,BCH/USDT,PolynomialRegression_degree_8,430.98,364.84,460.33,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-15,BCH/USDT,PolynomialRegression_degree_8,460.33,366.77,463.77,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-16,BCH/USDT,PolynomialRegression_degree_8,463.77,366.51,462.51,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-17,BCH/USDT,PolynomialRegression_degree_8,462.51,365.94,459.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-18,BCH/USDT,PolynomialRegression_degree_8,459.75,367.02,497.06,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-19,BCH/USDT,PolynomialRegression_degree_8,497.06,372.41,473.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-20,BCH/USDT,PolynomialRegression_degree_8,473.75,368.02,467.19,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-12,BCH/USDT,PolynomialRegression_degree_9,424.0,371.41,448.68,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-13,BCH/USDT,PolynomialRegression_degree_9,448.68,372.12,430.98,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-14,BCH/USDT,PolynomialRegression_degree_9,430.98,371.78,460.33,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-15,BCH/USDT,PolynomialRegression_degree_9,460.33,372.55,463.77,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-16,BCH/USDT,PolynomialRegression_degree_9,463.77,372.36,462.51,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-17,BCH/USDT,PolynomialRegression_degree_9,462.51,372.11,459.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-18,BCH/USDT,PolynomialRegression_degree_9,459.75,372.59,497.06,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-19,BCH/USDT,PolynomialRegression_degree_9,497.06,374.52,473.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-20,BCH/USDT,PolynomialRegression_degree_9,473.75,372.84,467.19,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-12,BCH/USDT,PolynomialRegression_degree_10,424.0,377.59,448.68,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-13,BCH/USDT,PolynomialRegression_degree_10,448.68,377.79,430.98,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-14,BCH/USDT,PolynomialRegression_degree_10,430.98,377.65,460.33,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-15,BCH/USDT,PolynomialRegression_degree_10,460.33,377.93,463.77,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-16,BCH/USDT,PolynomialRegression_degree_10,463.77,377.91,462.51,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-17,BCH/USDT,PolynomialRegression_degree_10,462.51,377.86,459.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-18,BCH/USDT,PolynomialRegression_degree_10,459.75,378.0,497.06,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-19,BCH/USDT,PolynomialRegression_degree_10,497.06,378.72,473.75,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-20,BCH/USDT,PolynomialRegression_degree_10,473.75,378.17,467.19,No,1000.0,0.0,1000.0,0.0,0.0
2025-06-12,BCH/USDT,Buy and Hold,424.0,424.0,448.68,Yes,1000.0,1000.0,1058.21,58.21,0.0582
2025-06-13,BCH/USDT,Buy and Hold,448.68,448.68,430.98,Yes,1058.21,1058.21,1016.46,-41.75,-0.0394
2025-06-14,BCH/USDT,Buy and Hold,430.98,430.98,460.33,Yes,1016.46,1016.46,1085.68,69.22,0.0681
2025-06-15,BCH/USDT,Buy and Hold,460.33,460.33,463.77,Yes,1085.68,1085.68,1093.8,8.11,0.0075
2025-06-16,BCH/USDT,Buy and Hold,463.77,463.77,462.51,Yes,1093.8,1093.8,1090.83,-2.97,-0.0027
2025-06-17,BCH/USDT,Buy and Hold,462.51,462.51,459.75,Yes,1090.83,1090.83,1084.32,-6.51,-0.006
2025-06-18,BCH/USDT,Buy and Hold,459.75,459.75,497.06,Yes,1084.32,1084.32,1172.31,88.0,0.0812
2025-06-19,BCH/USDT,Buy and Hold,497.06,497.06,473.75,Yes,1172.31,1172.31,1117.33,-54.98,-0.0469
2025-06-20,BCH/USDT,Buy and Hold,473.75,473.75,467.19,Yes,1117.33,1117.33,1101.86,-15.47,-0.0138
2025-06-15,BTC/USDT,LinearRegression,105559.75,107265.47,106703.83,Yes,1000.0,1000.0,1010.84,10.84,0.0108
2025-06-16,BTC/USDT,LinearRegression,106703.83,105260.41,104566.6,No,1010.84,0.0,1010.84,0.0,0.0
2025-06-17,BTC/USDT,LinearRegression,104566.6,103529.38,104894.83,No,1010.84,0.0,1010.84,0.0,0.0
2025-06-18,BTC/USDT,LinearRegression,104894.83,103838.34,104687.44,No,1010.84,0.0,1010.84,0.0,0.0
2025-06-19,BTC/USDT,LinearRegression,104687.44,104821.49,103243.47,Yes,1010.84,1010.84,996.9,-13.94,-0.0138
