https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751068800000,2025-06-28 00:00:00,BCH/USDT,504.74,505.22,487.39,491.14,12053589.49,24301.565973,6169999.41,12439.31261,175148,496.03
1750982400000,2025-06-27 00:00:00,BCH/USDT,489,509.91,484.5,504.88,15156308.87,30465.708736,7774115.65,15626.655069,221162,497.54
1750896000000,2025-06-26 00:00:00,BCH/USDT,482.81,505.81,481.43,489.29,17375159.27,35266.456724,8997030.12,18260.279234,251398,492.74
1750809600000,2025-06-25 00:00:00,BCH/USDT,453.85,494.8,453.39,482.88,17752815.6,37052.003051,9100461.89,18992.163232,259063,479.23
1750723200000,2025-06-24 00:00:00,BCH/USDT,462.79,467.17,448.81,453.7,15554151.65,33993.427942,7946958.29,17367.931001,228664,457.6
1750636800000,2025-06-23 00:00:00,BCH/USDT,454.81,469.68,437.73,462.79,16579040.76,36595.705426,8476289.97,18710.396225,241029,453.07
1750550400000,2025-06-22 00:00:00,BCH/USDT,467.19,470.6,437.05,454.83,18347619.65,40245.543094,9377407.5,20569.241848,266761,456.03
1750464000000,2025-06-21 00:00:00,BCH/USDT,473.62,477.93,457.89,467.19,12084593.36,25695.236814,6188571.61,13159.040486,177853,470.32
1750377600000,2025-06-20 00:00:00,BCH/USDT,497.18,500.77,472.31,473.75,19771884.35,40578.882712,10074780.89,20677.295395,289395,487.32
1750291200000,2025-06-19 00:00:00,BCH/USDT,459.72,501.29,453.01,497.06,16433472.25,34430.361926,8380321.69,17559.539452,241026,477.78
1750204800000,2025-06-18 00:00:00,BCH/USDT,462.62,481.25,456.52,459.75,13828685.32,29619.765034,7050681.42,15102.80715,203471,466.94
1750118400000,2025-06-17 00:00:00,BCH/USDT,463.77,482.75,456.72,462.51,17759494.8,37821.196891,9107254.37,19394.246769,259428,469.62
1750032000000,2025-06-16 00:00:00,BCH/USDT,460.31,476.08,451.57,463.77,16522604.42,35787.87341,8422157.32,18241.386548,242339,461.77
1749945600000,2025-06-15 00:00:00,BCH/USDT,431,469.49,431,460.33,12714433.72,28080.973781,6493427.45,14337.818981,185371,453
1749859200000,2025-06-14 00:00:00,BCH/USDT,448.67,450.06,421.35,430.98,12439994.47,28578.908005,6306366.11,14486.539614,183573,435.38
1749772800000,2025-06-13 00:00:00,BCH/USDT,423.91,453.63,397.66,448.68,15012685.62,35739.367284,7666290.42,18247.032058,219809,420.45
1749686400000,2025-06-12 00:00:00,BCH/USDT,428.85,441.75,423.42,424,11761713.86,27297.532093,5974527.53,13866.229383,173337,430.9
1749600000000,2025-06-11 00:00:00,BCH/USDT,438.18,446.82,421.77,428.88,17124970.68,38970.62979,8705581.74,19810.25021,250911,439.53
1749513600000,2025-06-10 00:00:00,BCH/USDT,425.16,443.45,417.89,438.17,15898816.62,37067.903348,8047917.37,18764.281766,234883,428.99
1749427200000,2025-06-09 00:00:00,BCH/USDT,410.68,429.36,410.51,425.17,9866888.65,23530.435061,4983457.93,11885.06996,144932,419.37
1749340800000,2025-06-08 00:00:00,BCH/USDT,409.37,419.67,406.2,410.68,7433726.91,18022.98467,3764225.79,9126.348915,109759,412.48
1749254400000,2025-06-07 00:00:00,BCH/USDT,395.64,411.62,393.72,409.37,9972575.61,24575.556591,5041011.33,12422.869792,149354,405.85
1749168000000,2025-06-06 00:00:00,BCH/USDT,385.22,399.67,380.31,395.55,11238114.94,28915.648355,5716260.09,14708.509571,172046,388.71
1749081600000,2025-06-05 00:00:00,BCH/USDT,400.2,404.98,377.94,385.01,7368749.8,18558.642393,3741664.42,9423.454677,113155,397.18
1748995200000,2025-06-04 00:00:00,BCH/USDT,400.76,410.61,397.25,400.16,5128789.66,12678.163339,2613685.45,6461.280313,79960,404.55
1748908800000,2025-06-03 00:00:00,BCH/USDT,403.7,408.67,399.81,400.75,5470633.21,13539.562081,2825920.37,6993.966872,112075,404.05
1748822400000,2025-06-02 00:00:00,BCH/USDT,403.2,406.76,397,403.72,6086051.95,15159.33815,3225431.15,8033.99526,178272,401.48
1748736000000,2025-06-01 00:00:00,BCH/USDT,414.87,415.41,396.87,403.22,6072955.45,15006.506796,3234206.22,7991.903766,178497,404.73
1748649600000,2025-05-31 00:00:00,BCH/USDT,398.46,422.48,390,414.88,6054194.97,14861.846486,3211697.32,7883.598973,178801,407.55
1748563200000,2025-05-30 00:00:00,BCH/USDT,409.58,414.66,394.49,398.42,6108211.07,15014.59574,3266938.36,8030.166344,179959,406.84
1748476800000,2025-05-29 00:00:00,BCH/USDT,424.71,427.9,405.3,409.61,6082965.23,14584.612469,3268062.06,7835.324762,179842,417.16
1748390400000,2025-05-28 00:00:00,BCH/USDT,414.62,426.24,404.52,424.71,5871395.25,14195.987007,3150032.54,7616.249822,172673,413.64
1748304000000,2025-05-27 00:00:00,BCH/USDT,415.43,423.97,408.64,414.69,5759737.43,13794.963842,3074736.72,7364.278187,170372,417.54
1748217600000,2025-05-26 00:00:00,BCH/USDT,422.73,428.78,412.99,415.47,5996054.38,14282.288324,3191071,7601.393657,175459,419.86
1748131200000,2025-05-25 00:00:00,BCH/USDT,421.48,427.43,407.7,422.73,5878621,14130.54132,3118278.92,7495.858973,173047,416.07
1748044800000,2025-05-24 00:00:00,BCH/USDT,426.42,432.65,420.38,421.37,6587956.64,15386.621118,3543514,8275.589444,193983,428.17
1747958400000,2025-05-23 00:00:00,BCH/USDT,444.24,459.86,424.29,426.48,9187573.9,20830.479208,5020731.3,11383.069189,269519,441.15
1747872000000,2025-05-22 00:00:00,BCH/USDT,407.02,445.76,407.02,444.12,11346502.77,26541.692491,6301276.64,14740.346962,334871,427.72
1747785600000,2025-05-21 00:00:00,BCH/USDT,394.15,411.9,390.24,407,9081085.78,22695.211203,4960588.34,12396.076755,266151,400.18
1747699200000,2025-05-20 00:00:00,BCH/USDT,392.78,398.59,383.92,394.07,7284854.87,18639.436709,3890740.87,9954.709581,212250,390.86
1747612800000,2025-05-19 00:00:00,BCH/USDT,406.32,408.35,376.14,392.8,9365443.34,24113.853726,5135398.5,13222.178529,274946,388.48
