https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751068800000,2025-06-28 00:00:00,DASH/USDT,19.48,19.92,19.36,19.87,1059381.44,54124.747526,532635.5,27215.238978,18486,19.57
1750982400000,2025-06-27 00:00:00,DASH/USDT,19.28,19.74,19.2,19.47,1088555.31,56164.707515,546936.47,28221.382822,18807,19.38
1750896000000,2025-06-26 00:00:00,DASH/USDT,19.76,20.19,19.14,19.26,1108942.86,56506.40965,556763.02,28372.361975,19221,19.62
1750809600000,2025-06-25 00:00:00,DASH/USDT,20.12,20.4,19.65,19.71,2134326.81,106633.456321,1059356.12,52923.854622,36550,20.01
1750723200000,2025-06-24 00:00:00,DASH/USDT,19.73,20.38,19.69,20.14,1837643.63,92085.044528,912562.26,45731.034076,31656,19.95
1750636800000,2025-06-23 00:00:00,DASH/USDT,18.3,19.78,18.06,19.73,2510143.07,133995.913675,1273465.26,67975.4953,42869,18.74
1750550400000,2025-06-22 00:00:00,DASH/USDT,18.85,19.66,17.42,18.3,3044934.73,165947.524301,1535789.55,83695.421275,52276,18.35
1750464000000,2025-06-21 00:00:00,DASH/USDT,19.52,19.71,18.39,18.82,1365512.59,70937.141918,676960.23,35151.835337,23225,19.25
1750377600000,2025-06-20 00:00:00,DASH/USDT,19.92,20.27,19.16,19.52,1643829.51,83221.232108,804375.09,40727.168575,27894,19.75
1750291200000,2025-06-19 00:00:00,DASH/USDT,19.82,20.3,19.57,19.92,962497.85,48556.306045,483464.85,24389.81623,16915,19.82
1750204800000,2025-06-18 00:00:00,DASH/USDT,19.62,20.9,19.18,19.85,1490973.26,75874.829111,745053.37,37920.591017,25793,19.65
1750118400000,2025-06-17 00:00:00,DASH/USDT,20.19,20.42,19.39,19.65,1839374.78,91970.644133,939730.98,47000.918622,31212,20
1750032000000,2025-06-16 00:00:00,DASH/USDT,20.14,20.89,19.96,20.17,1623810.07,78733.308368,810872.53,39318.44088,27857,20.62
1749945600000,2025-06-15 00:00:00,DASH/USDT,20.21,20.43,19.91,20.12,1049843.23,51998.8323,514051.04,25460.482854,18185,20.19
1749859200000,2025-06-14 00:00:00,DASH/USDT,20.48,20.58,20.04,20.22,1228150.93,60388.754472,612822.89,30132.537731,21200,20.33
1749772800000,2025-06-13 00:00:00,DASH/USDT,20.71,20.73,19.55,20.48,2890657.79,143973.901383,1459962.33,72714.276263,48976,20.07
1749686400000,2025-06-12 00:00:00,DASH/USDT,21.87,21.89,20.6,20.69,1611788.95,75763.081325,813854,38260.581798,27560,21.27
1749600000000,2025-06-11 00:00:00,DASH/USDT,22.7,22.71,21.67,21.87,3434078.81,153781.181437,1725261.27,77261.24708,57855,22.33
1749513600000,2025-06-10 00:00:00,DASH/USDT,22.26,22.92,21.87,22.71,2659186.7,118693.288258,1338335.56,59745.11777,44449,22.4
1749427200000,2025-06-09 00:00:00,DASH/USDT,21.51,22.29,21.16,22.26,1506041.25,69257.57033,763280.23,35101.318703,25437,21.74
1749340800000,2025-06-08 00:00:00,DASH/USDT,21.62,21.84,21.19,21.51,1223060.39,56671.716131,619053.96,28686.184391,20982,21.58
1749254400000,2025-06-07 00:00:00,DASH/USDT,21.26,21.78,21.21,21.67,1305095.18,60398.550646,655292.31,30323.262716,22177,21.6
1749168000000,2025-06-06 00:00:00,DASH/USDT,20.55,21.55,20.41,21.26,2555713.61,121795.045516,1299935.29,61954.019848,46350,20.98
1749081600000,2025-06-05 00:00:00,DASH/USDT,21.58,21.76,20.35,20.55,1772121.49,83470.267064,895573.08,42172.741485,47852,21.23
1748995200000,2025-06-04 00:00:00,DASH/USDT,22.35,22.58,21.5,21.51,8166353.64,364508.444195,4154751.93,185446.87284,116736,22.4
1748908800000,2025-06-03 00:00:00,DASH/USDT,22.26,22.59,22.09,22.35,15108184.2,676170.444022,7705222.71,344847.335962,216339,22.34
1748822400000,2025-06-02 00:00:00,DASH/USDT,22.13,22.36,21.09,22.26,10950714.66,499845.723364,5593564.06,255309.788948,158603,21.9
1748736000000,2025-06-01 00:00:00,DASH/USDT,21.88,22.19,21.58,22.14,8180719.78,373228.110346,4149630.05,189314.780323,116455,21.91
1748649600000,2025-05-31 00:00:00,DASH/USDT,21.81,22.3,21.34,21.89,14120031.1,649738.280889,7277687.12,334896.189124,202565,21.73
1748563200000,2025-05-30 00:00:00,DASH/USDT,23.2,23.36,21.77,21.82,17461093.5,774644.334266,9008883.02,399649.107698,250246,22.54
1748476800000,2025-05-29 00:00:00,DASH/USDT,23.81,24.31,23.11,23.21,15507027.71,656172.891234,7988617.47,338012.266117,221805,23.63
1748390400000,2025-05-28 00:00:00,DASH/USDT,23.97,24.3,23.34,23.81,13341805.5,559011.343571,6880130.97,288274.256227,190126,23.86
1748304000000,2025-05-27 00:00:00,DASH/USDT,23.54,24.43,23.14,23.97,14107662.86,589225.421637,7300159.76,304913.443953,202166,23.94
1748217600000,2025-05-26 00:00:00,DASH/USDT,23.65,24.06,23.4,23.54,11877455.96,501219.299553,6150526.65,259550.245873,169082,23.69
1748131200000,2025-05-25 00:00:00,DASH/USDT,23.27,23.73,22.59,23.66,11383505.28,493663.563525,5803796.07,251703.011583,163414,23.06
1748044800000,2025-05-24 00:00:00,DASH/USDT,23.43,24.94,23.17,23.27,12836116.75,546192.393196,6574411.46,279755.211986,184748,23.5
1747958400000,2025-05-23 00:00:00,DASH/USDT,25.02,26.1,23.34,23.44,17698717.54,720279.524505,9093378.52,370018.278138,253984,24.58
1747872000000,2025-05-22 00:00:00,DASH/USDT,23.98,25.6,23.88,25.01,20860448.05,845278.459717,10757198.61,435898.071691,297590,24.68
1747785600000,2025-05-21 00:00:00,DASH/USDT,23.56,24.3,23.16,23.99,16494584.06,696271.667456,8429110.59,355802.571698,234556,23.69
1747699200000,2025-05-20 00:00:00,DASH/USDT,23.42,23.84,22.97,23.56,14111536.74,602242.380819,7146254,304980.676916,200695,23.43
1747612800000,2025-05-19 00:00:00,DASH/USDT,23.88,23.96,22.58,23.41,17378153.96,751051.60879,8800167.88,380338.617437,247364,23.14
1747526400000,2025-05-18 00:00:00,DASH/USDT,22.87,24.05,22.66,23.89,11541919.79,493663.094737,5838214.58,249721.470283,164659,23.38
1747440000000,2025-05-17 00:00:00,DASH/USDT,23.43,23.51,22.64,22.87,11839142.03,514933.615086,5965544.07,259474.217071,168142,22.99
