https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1748476800000,2025-05-29 00:00:00,EOS/USDT,0.7799,0.7799,0.7799,0.7799,0,0,0,0,0,0.7684
1748390400000,2025-05-28 00:00:00,EOS/USDT,0.7799,0.7799,0.7799,0.7799,0,0,0,0,0,0.7684
1748304000000,2025-05-27 00:00:00,EOS/USDT,0.7799,0.7799,0.7799,0.7799,0,0,0,0,0,0.7684
1748217600000,2025-05-26 00:00:00,EOS/USDT,0.7659,0.7984,0.7549,0.7799,1518216.6527,1975902.5551,753982.6594,981256.563,94478,0.7684
1748131200000,2025-05-25 00:00:00,EOS/USDT,0.7328,0.8108,0.7136,0.7659,11549838.7439,15742091.7071,5747316.7262,7833797.2667,778747,0.734
1748044800000,2025-05-24 00:00:00,EOS/USDT,0.73,0.7513,0.7221,0.7327,11898298.55,16155954.4952,5950337.4657,8079693.979,784860,0.7364
1747958400000,2025-05-23 00:00:00,EOS/USDT,0.7641,0.8214,0.7299,0.7299,11794037.6198,15441587.3367,5893490.3749,7715586.6751,781907,0.7642
1747872000000,2025-05-22 00:00:00,EOS/USDT,0.758,0.7721,0.7502,0.7638,11722755.2535,15393850.0577,5865903.7946,7702837.8736,780850,0.7615
1747785600000,2025-05-21 00:00:00,EOS/USDT,0.786,0.793,0.7211,0.758,12215891.0468,16115516.7177,6132422.26,8090280.408,787978,0.7584
1747699200000,2025-05-20 00:00:00,EOS/USDT,0.7764,0.7907,0.7576,0.786,12196791.2809,15739473.5652,6141126.5628,7924709.8619,778457,0.775
1747612800000,2025-05-19 00:00:00,EOS/USDT,0.8161,0.8175,0.7513,0.7765,12015833.8069,15582783.9703,6034548.3188,7826086.9251,777581,0.7712
1747526400000,2025-05-18 00:00:00,EOS/USDT,0.809,0.8468,0.7726,0.8164,12214772.3373,15177852.2646,6108138.5478,7589435.3513,781887,0.805
1747440000000,2025-05-17 00:00:00,EOS/USDT,0.8415,0.8466,0.7801,0.8091,12074444.1644,15061684.3714,6051391.5972,7548382.2973,771627,0.8018
1747353600000,2025-05-16 00:00:00,EOS/USDT,0.7839,0.8691,0.781,0.8416,12159020.2089,14602972.0046,6085426.1076,7309018.4795,784460,0.8332
1747267200000,2025-05-15 00:00:00,EOS/USDT,0.7958,0.8048,0.7602,0.7839,12175555.8195,15630004.3684,6072488.812,7795282.2145,774869,0.779
1747180800000,2025-05-14 00:00:00,EOS/USDT,0.8858,0.9142,0.7913,0.7957,11893690.8097,14146475.8377,5967858.744,7097598.5913,779659,0.842
1747094400000,2025-05-13 00:00:00,EOS/USDT,0.8811,0.899,0.8384,0.8857,12411628.9853,14274862.0301,6171740.7784,7098301.3342,782048,0.8697
1747008000000,2025-05-12 00:00:00,EOS/USDT,0.9267,0.979,0.853,0.8811,11976259.9285,13140236.3454,5988769.9613,6571026.9945,778874,0.9121
1746921600000,2025-05-11 00:00:00,EOS/USDT,0.9396,0.9461,0.8688,0.9268,12114186.7536,13312012.1689,6066366.2294,6666100.6594,778364,0.9102
1746835200000,2025-05-10 00:00:00,EOS/USDT,0.8547,0.9982,0.8492,0.9401,12408294.0073,13434697.0935,6234614.4702,6750865.5963,781060,0.9247
1746748800000,2025-05-09 00:00:00,EOS/USDT,0.8559,0.888,0.8392,0.8547,11932335.1072,13950938.2068,5970301.0692,6980338.5683,779657,0.8553
1746662400000,2025-05-08 00:00:00,EOS/USDT,0.8194,0.8656,0.8053,0.8559,11856144.6802,14123765.7948,5946970.833,7084887.853,767614,0.8395
1746576000000,2025-05-07 00:00:00,EOS/USDT,0.6904,0.8396,0.6877,0.8194,12289137.3647,16622977.3224,6239593.16,8438477.554,777791,0.7417
1746489600000,2025-05-06 00:00:00,EOS/USDT,0.7036,0.7091,0.6642,0.6904,12282543.9208,17840352.1128,6234022.9031,9054758.3251,780781,0.6886
1746403200000,2025-05-05 00:00:00,EOS/USDT,0.6942,0.7231,0.6901,0.7037,12189539.3841,17202549.1607,6183816.1915,8727072.1785,780440,0.7086
1746316800000,2025-05-04 00:00:00,EOS/USDT,0.7253,0.7335,0.6822,0.6941,12370480.9759,17546234.9984,6269248.2086,8892646.9377,779640,0.7052
1746230400000,2025-05-03 00:00:00,EOS/USDT,0.7208,0.7457,0.7123,0.7253,12182228.622,16739980.2167,6194628.4299,8512218.1235,783393,0.7278
1746144000000,2025-05-02 00:00:00,EOS/USDT,0.7033,0.7622,0.6939,0.7209,11822591.5604,16225313.3807,5981302.5941,8208850.6395,777580,0.7289
1746057600000,2025-05-01 00:00:00,EOS/USDT,0.6724,0.7082,0.6695,0.7033,12489183.1154,18316127.0788,6306197.5486,9247707.747,778418,0.6819
1745971200000,2025-04-30 00:00:00,EOS/USDT,0.6821,0.6923,0.654,0.6724,12055330.9964,17726632.6035,6083355.8611,8944938.7127,778422,0.6801
1745884800000,2025-04-29 00:00:00,EOS/USDT,0.6902,0.7064,0.6739,0.6822,13131082.718,19005300.7699,6662739.4854,9643645.1661,844699,0.6909
1745798400000,2025-04-28 00:00:00,EOS/USDT,0.6687,0.7022,0.6589,0.6902,14456435.8444,21214916.3942,7330757.1527,10757621.2176,921542,0.6815
1745712000000,2025-04-27 00:00:00,EOS/USDT,0.6814,0.6894,0.6563,0.6688,14102982.3183,20984199.0973,7187729.5385,10695153.1098,898012,0.6721
1745625600000,2025-04-26 00:00:00,EOS/USDT,0.6835,0.7159,0.6698,0.6814,14386665.2717,20845379.2713,7218704.3969,10459324.8806,900013,0.6903
1745539200000,2025-04-25 00:00:00,EOS/USDT,0.6811,0.6936,0.6636,0.6835,14489417.9967,21311034.9109,7289659.1881,10721635.1181,919311,0.6799
1745452800000,2025-04-24 00:00:00,EOS/USDT,0.6815,0.6867,0.6344,0.6811,14410202.7173,21830398.5041,7258809.4604,10996728.2598,915024,0.6604
1745366400000,2025-04-23 00:00:00,EOS/USDT,0.6657,0.6866,0.6515,0.6815,14452350.6639,21549687.5999,7265343.9558,10832766.2801,918410,0.6706
1745280000000,2025-04-22 00:00:00,EOS/USDT,0.6299,0.6741,0.6217,0.6658,14461056.4985,22505385.5487,7277532.0211,11324884.551,913085,0.6427
1745193600000,2025-04-21 00:00:00,EOS/USDT,0.6557,0.6657,0.6254,0.6302,14541457.1495,22482909.318,7305195.0921,11293472.4448,921654,0.6469
1745107200000,2025-04-20 00:00:00,EOS/USDT,0.6375,0.6695,0.6202,0.6557,14599449.1855,22716706.9213,7343709.8311,11425605.8202,922240,0.6429
1745020800000,2025-04-19 00:00:00,EOS/USDT,0.6219,0.6418,0.6157,0.6372,14573871.6309,23234428.5797,7328792.2471,11684587.846,916515,0.6273
1744934400000,2025-04-18 00:00:00,EOS/USDT,0.6261,0.6346,0.6127,0.6218,14552767.5925,23290285.8265,7318873.6395,11713258.1928,921897,0.6248
1744848000000,2025-04-17 00:00:00,EOS/USDT,0.6,0.643,0.5967,0.626,14243245.8959,23090337.1155,7197259.9607,11667558.198,914446,0.617
1744761600000,2025-04-16 00:00:00,EOS/USDT,0.5893,0.6439,0.5864,0.6,14562533.0648,23719768.6232,7418765.525,12083565.2908,910321,0.6142
1744675200000,2025-04-15 00:00:00,EOS/USDT,0.6118,0.6263,0.584,0.5894,14267780.2046,23560485.4365,7241807.5743,11958543.6385,915254,0.6057
1744588800000,2025-04-14 00:00:00,EOS/USDT,0.6089,0.6337,0.6023,0.6119,14180926.9076,22928506.5804,7183824.3346,11615201.3447,901957,0.6185
1744502400000,2025-04-13 00:00:00,EOS/USDT,0.7037,0.7058,0.6019,0.6092,13768278.5869,21395315.575,6974875.9369,10837937.0153,889089,0.6443
1744416000000,2025-04-12 00:00:00,EOS/USDT,0.6188,0.7128,0.5891,0.7034,14136620.0293,22338046.4817,7157894.0873,11311898.821,895556,0.6354
1744329600000,2025-04-11 00:00:00,EOS/USDT,0.6188,0.6644,0.6127,0.6188,14345660.1683,22837400.9281,7273868.5462,11579283.5569,904541,0.6282
1744243200000,2025-04-10 00:00:00,EOS/USDT,0.7038,0.7162,0.6068,0.6191,14160206.7521,21654751.8046,7186040.9276,10988876.1698,892234,0.6553
1744156800000,2025-04-09 00:00:00,EOS/USDT,0.67,0.7194,0.6359,0.7042,13859117.8272,20465995.7225,7077762.4788,10451633.0069,889407,0.6778
1744070400000,2025-04-08 00:00:00,EOS/USDT,0.7685,0.8003,0.6599,0.6701,12646991.4399,17540000.909,6419711.3889,8904509.9436,806948,0.7225
1743984000000,2025-04-07 00:00:00,EOS/USDT,0.7171,0.7839,0.6764,0.7685,10630985.6399,14564536.5054,5399599.3528,7397590.361,686615,0.7308
1743897600000,2025-04-06 00:00:00,EOS/USDT,0.7509,0.7941,0.7134,0.7168,11440101.8874,15207924.5537,5812725.2819,7726829.3064,706056,0.7524
1743811200000,2025-04-05 00:00:00,EOS/USDT,0.7824,0.8108,0.7471,0.7507,11103112.7874,14313511.1491,5604009.5019,7224604.7226,719377,0.7759
1743724800000,2025-04-04 00:00:00,EOS/USDT,0.857,0.8674,0.7786,0.7823,10960785.4204,13447682.6168,5539500.9146,6796325.3372,707372,0.8156
1743638400000,2025-04-03 00:00:00,EOS/USDT,0.8035,0.8808,0.7782,0.8568,10674658.6151,13074127.3013,5399213.4236,6614244.1079,687076,0.8169
1743552000000,2025-04-02 00:00:00,EOS/USDT,0.6881,0.8709,0.6738,0.8039,10611451.388,13520957.6515,5347412.8116,6815333.1789,687987,0.788
1743465600000,2025-04-01 00:00:00,EOS/USDT,0.617,0.7111,0.6014,0.6879,11016917.1558,16420179.7152,5575607.2807,8309998.9786,709285,0.6722
1743379200000,2025-03-31 00:00:00,EOS/USDT,0.5963,0.6504,0.5738,0.6172,10784767.6329,17743714.5004,5464504.2044,8991291.8383,694019,0.6084
