https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751068800000,2025-06-28 00:00:00,ETC/USDT,16.173,16.318,16.073,16.268,1324392.75,82006.165179,655570.62,40593.772684,23727,16.15
1750982400000,2025-06-27 00:00:00,ETC/USDT,16.109,16.327,15.884,16.179,3551310.72,220490.572439,1801411.73,111846.135834,61660,16.106
1750896000000,2025-06-26 00:00:00,ETC/USDT,16.219,16.6,16.036,16.123,3328821.63,204163.228913,1675656.13,102759.950498,56886,16.305
1750809600000,2025-06-25 00:00:00,ETC/USDT,16.443,16.559,16.138,16.237,3553804.85,217266.90074,1794147.47,109690.01252,60723,16.357
1750723200000,2025-06-24 00:00:00,ETC/USDT,16.385,16.569,16.192,16.449,4641974.84,283686.112064,2347958.86,143498.728854,79233,16.363
1750636800000,2025-06-23 00:00:00,ETC/USDT,15.198,16.526,15.102,16.371,5086044.16,329516.912128,2578750.6,167075.785315,87096,15.441
1750550400000,2025-06-22 00:00:00,ETC/USDT,15.586,15.772,14.5,15.198,7941166.63,521900.802965,4082899.01,268350.871968,136978,15.221
1750464000000,2025-06-21 00:00:00,ETC/USDT,16.123,16.304,15.196,15.596,5506707.26,344931.213154,2766571.15,173303.231112,94542,15.969
1750377600000,2025-06-20 00:00:00,ETC/USDT,16.704,16.919,15.845,16.117,4076994.75,247838.955384,2067291.54,125643.322614,69852,16.455
1750291200000,2025-06-19 00:00:00,ETC/USDT,16.525,16.795,16.39,16.717,3993090.96,241171.790852,2018986.98,121940.802829,68332,16.557
1750204800000,2025-06-18 00:00:00,ETC/USDT,16.464,16.705,16.067,16.527,3822210.29,232931.117091,1943322.12,118434.787014,65581,16.41
1750118400000,2025-06-17 00:00:00,ETC/USDT,16.932,17.196,16.201,16.484,5125792.41,305878.025397,2587668.92,154421.419118,87082,16.761
1750032000000,2025-06-16 00:00:00,ETC/USDT,16.685,17.533,16.489,16.932,4548103.65,266728.133747,2316427.71,135862.936785,77304,17.055
1749945600000,2025-06-15 00:00:00,ETC/USDT,16.641,16.815,16.39,16.681,2010940.12,120889.147934,1018124.78,61206.594266,34921,16.635
1749859200000,2025-06-14 00:00:00,ETC/USDT,16.916,16.922,16.467,16.643,3475824.51,208097.452882,1756467.03,105154.341387,59354,16.703
1749772800000,2025-06-13 00:00:00,ETC/USDT,17.114,17.129,16,16.914,9104115.37,553257.017538,4656186.66,282969.997121,154054,16.458
1749686400000,2025-06-12 00:00:00,ETC/USDT,18.083,18.132,17.019,17.109,5292733.67,301111.661217,2694453.46,153278.376135,89497,17.581
1749600000000,2025-06-11 00:00:00,ETC/USDT,18.565,18.72,17.932,18.082,6000164.34,326946.494192,3063504.2,166932.036946,101620,18.353
1749513600000,2025-06-10 00:00:00,ETC/USDT,17.878,18.606,17.615,18.567,6434127.55,356228.859396,3260179.19,180491.226456,109083,18.065
