https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751068800000,2025-06-28 00:00:00,XMR/USDT,307.72,316.49,304.26,311.42,6428841.01,20798.45422,3290969.78,10646.445612,99819,309.12
1750982400000,2025-06-27 00:00:00,XMR/USDT,310.87,314.97,301.03,307.67,6836124.44,22150.776517,3501254.29,11345.343118,106524,308.63
1750896000000,2025-06-26 00:00:00,XMR/USDT,311.3,319.19,308.69,311.18,7160608.6,22875.069924,3730822.31,11917.855574,110858,313.04
1750809600000,2025-06-25 00:00:00,XMR/USDT,314.13,321.36,310.22,310.99,7087629.67,22437.403113,3655021.33,11569.723353,107988,315.89
1750723200000,2025-06-24 00:00:00,XMR/USDT,311.87,320.53,305.56,313.83,6656572.69,21219.281945,3456559.34,11017.921088,103808,313.72
1750636800000,2025-06-23 00:00:00,XMR/USDT,298.51,312.36,292.68,311.57,6658464.11,21972.469642,3403725.76,11231.863083,103749,303.06
1750550400000,2025-06-22 00:00:00,XMR/USDT,309.42,314.44,290,298.43,6764996.44,22215.866075,3468671.34,11387.306356,101597,304.68
1750464000000,2025-06-21 00:00:00,XMR/USDT,311.5,318.42,304.29,309.45,6566506.83,20890.041159,3336523.49,10613.940423,102389,314.35
1750377600000,2025-06-20 00:00:00,XMR/USDT,310.12,320.67,304.27,311.39,6650742.29,21379.676177,3431249.32,11029.812427,102940,311.11
1750291200000,2025-06-19 00:00:00,XMR/USDT,316.94,323.8,302.44,309.97,6842077.05,21682.483837,3564178.98,11296.72995,105648,315.61
1750204800000,2025-06-18 00:00:00,XMR/USDT,320.2,330.51,314.33,316.98,6945305.44,21616.670133,3606883.29,11225.527541,107786,321.32
1750118400000,2025-06-17 00:00:00,XMR/USDT,322.75,330.42,317.23,320.87,6771989.21,20861.351066,3488523.02,10747.224286,106286,324.64
1750032000000,2025-06-16 00:00:00,XMR/USDT,315.8,332.62,314.1,323.08,7350494.38,22876.017651,3640234.62,11331.344191,110495,321.39
1749945600000,2025-06-15 00:00:00,XMR/USDT,312.93,321.38,311.27,315.49,7706538.33,24353.722666,3634486.08,11486.504195,113141,316.45
1749859200000,2025-06-14 00:00:00,XMR/USDT,312.48,319.95,306.53,313.04,6701440.34,21459.880767,3222056.63,10319.325848,99345,312.29
1749772800000,2025-06-13 00:00:00,XMR/USDT,319.37,323.2,301,312.6,7246646,23184.206808,3605131.9,11537.753594,109099,312.62
1749686400000,2025-06-12 00:00:00,XMR/USDT,329.83,333.1,315.1,319.7,7100951.23,21839.45354,3597039.07,11059.630248,106820,325.19
1749600000000,2025-06-11 00:00:00,XMR/USDT,337.7,344.54,324.12,330.18,6553146.99,19518.814552,3353526.02,9987.857728,102176,335.79
1749513600000,2025-06-10 00:00:00,XMR/USDT,333.54,341.71,328.51,337.56,4618954.66,13858.374287,2379063.89,7137.228331,69537,333.31
1749427200000,2025-06-09 00:00:00,XMR/USDT,327.92,335.36,322.82,333.5,4610976.77,13995.170828,2356519.32,7151.610973,67404,329.48
1749340800000,2025-06-08 00:00:00,XMR/USDT,327.93,337.63,323.51,327.6,4529488.54,13743.15908,2305617.43,6995.925917,68325,329.6
1749254400000,2025-06-07 00:00:00,XMR/USDT,323.29,330.7,318.76,327.91,4441687.72,13666.789627,2283600.28,7028.2193,66062,325.02
1749168000000,2025-06-06 00:00:00,XMR/USDT,315.92,338,314.12,322.97,4751526.24,14710.738788,2485957.16,7696.523537,73806,323.05
1749081600000,2025-06-05 00:00:00,XMR/USDT,314.5,338.29,310.24,316.23,2890678.21,8976.365392,1459768.56,4534.12214,76795,322.18
1748995200000,2025-06-04 00:00:00,XMR/USDT,343.37,353.59,302.27,314.44,2917758.47,8712.883433,1425029.24,4248.613422,77383,335.51
1748908800000,2025-06-03 00:00:00,XMR/USDT,357.24,369.63,337.59,343.31,3035157.07,8620.122905,1513038.42,4294.280881,78511,352.26
1748822400000,2025-06-02 00:00:00,XMR/USDT,347.05,368.22,341.04,357.26,3076306.23,8731.210275,1532317.02,4347.959814,78655,352.48
1748736000000,2025-06-01 00:00:00,XMR/USDT,325.44,349.17,321.38,347,2976959.45,9031.576046,1488866.37,4516.58231,80990,329.71
1748649600000,2025-05-31 00:00:00,XMR/USDT,326.25,331.91,315,325.48,2925538.55,9017.256384,1425487.67,4391.180638,76530,324.47
