https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751068800000,2025-06-28 00:00:00,ZRX/USDT,0.2129,0.2197,0.2116,0.2189,1747044.1301,8146602.5237,891178.9467,4155389.6553,51270,0.2144
1750982400000,2025-06-27 00:00:00,ZRX/USDT,0.2117,0.2152,0.2081,0.2126,2104379.3224,9915533.209,1066917.8941,5027099.0838,61100,0.2122
1750896000000,2025-06-26 00:00:00,ZRX/USDT,0.2172,0.2232,0.2099,0.2111,2386052.5535,11107942.1423,1218667.4155,5673171.3554,68818,0.2148
1750809600000,2025-06-25 00:00:00,ZRX/USDT,0.2248,0.2262,0.2164,0.2179,1667206.6943,7529222.4592,857602.3882,3873120.1144,48752,0.2214
1750723200000,2025-06-24 00:00:00,ZRX/USDT,0.2205,0.2263,0.2197,0.2248,1535938.4568,6898449.7207,792395.9161,3558813.4444,44855,0.2226
1750636800000,2025-06-23 00:00:00,ZRX/USDT,0.2006,0.221,0.199,0.2202,1999805.9904,9707015.8486,1037374.7134,5034378.0245,58141,0.2061
1750550400000,2025-06-22 00:00:00,ZRX/USDT,0.2066,0.2091,0.1907,0.2006,2141622.5164,10654408.0716,1092503.0241,5435137.2849,62161,0.2011
1750464000000,2025-06-21 00:00:00,ZRX/USDT,0.2159,0.2197,0.2013,0.2066,1723504.186,8043338.4432,880232.4858,4108342.7841,50394,0.2144
1750377600000,2025-06-20 00:00:00,ZRX/USDT,0.2225,0.2263,0.2126,0.2159,1821948.4019,8228357.7362,937303.6536,4233164.4642,53432,0.2214
1750291200000,2025-06-19 00:00:00,ZRX/USDT,0.224,0.2258,0.2177,0.2228,1168136.3118,5253965.3105,603161.8857,2712834.5112,34499,0.2223
1750204800000,2025-06-18 00:00:00,ZRX/USDT,0.2222,0.2263,0.2154,0.2242,1564790.4364,7052522.5755,796573.2659,3590092.4088,45469,0.2219
1750118400000,2025-06-17 00:00:00,ZRX/USDT,0.2298,0.2348,0.2192,0.2225,1585980.4764,7048747.7564,818850.3889,3639825.8856,46012,0.225
1750032000000,2025-06-16 00:00:00,ZRX/USDT,0.2298,0.2399,0.227,0.23,3167569.8451,13540418.5381,1621314.8978,6930366.3639,92268,0.2339
1749945600000,2025-06-15 00:00:00,ZRX/USDT,0.2278,0.2316,0.225,0.2295,1571783.7518,6857207.2266,791899.716,3454721.6345,46177,0.2292
1749859200000,2025-06-14 00:00:00,ZRX/USDT,0.2303,0.2315,0.2248,0.2281,1344792.8256,5886820.239,687271.5666,3008392.979,39412,0.2284
1749772800000,2025-06-13 00:00:00,ZRX/USDT,0.2351,0.2353,0.2202,0.23,2353298.9484,10409783.4317,1205817.2979,5333311.8646,68364,0.2261
1749686400000,2025-06-12 00:00:00,ZRX/USDT,0.2489,0.249,0.2341,0.2353,1444315.6177,5973947.2201,738892.1942,3055824.7337,41838,0.2418
1749600000000,2025-06-11 00:00:00,ZRX/USDT,0.2631,0.2636,0.2457,0.2489,3557760.9306,13878406.4214,1845042.1539,7197572.5001,103683,0.2564
1749513600000,2025-06-10 00:00:00,ZRX/USDT,0.2525,0.2636,0.2464,0.2632,3520451.5259,13932636.9711,1792076.471,7092669.7153,101391,0.2527
1749427200000,2025-06-09 00:00:00,ZRX/USDT,0.2394,0.253,0.2325,0.252,1562393.0576,6464839.1397,785928.9172,3252178.0388,45758,0.2417
1749340800000,2025-06-08 00:00:00,ZRX/USDT,0.2393,0.2431,0.2353,0.2396,1378651.8946,5753884.3564,699814.8233,2920678.5634,40427,0.2396
1749254400000,2025-06-07 00:00:00,ZRX/USDT,0.2323,0.2426,0.2316,0.2386,1287014.1276,5386527.4938,640560.1055,2681087.1436,37732,0.2389
1749168000000,2025-06-06 00:00:00,ZRX/USDT,0.2273,0.2394,0.2245,0.2323,3389493.2365,14689649.4381,1714138.8081,7429460.4407,98812,0.2307
1749081600000,2025-06-05 00:00:00,ZRX/USDT,0.2386,0.2452,0.2228,0.2267,1978785.2535,8380435.8388,1010721.8558,4280588.0994,57771,0.2362
1748995200000,2025-06-04 00:00:00,ZRX/USDT,0.2457,0.2486,0.22,0.2388,2475150.0136,10138762.8149,1293801.1516,5297569.8153,98475,0.2441
1748908800000,2025-06-03 00:00:00,ZRX/USDT,0.244,0.2505,0.2201,0.2455,14869709.0363,60138941.6073,8073896.7046,32652992.2992,964492,0.2472
1748822400000,2025-06-02 00:00:00,ZRX/USDT,0.2382,0.245,0.2343,0.2442,12480672.9998,52097681.1492,6675790.896,27867202.5495,790694,0.2395
1748736000000,2025-06-01 00:00:00,ZRX/USDT,0.2371,0.2391,0.2287,0.2382,12396753.4436,52806278.0355,6687914.8545,28489742.0277,783077,0.2347
1748649600000,2025-05-31 00:00:00,ZRX/USDT,0.2305,0.2391,0.2242,0.2372,12084211.761,52058382.9917,6467223.1903,27860986.5556,786787,0.2321
1748563200000,2025-05-30 00:00:00,ZRX/USDT,0.251,0.2531,0.2288,0.2307,12535302.9574,52068996.7267,6687379.089,27777959.9906,785836,0.2408
1748476800000,2025-05-29 00:00:00,ZRX/USDT,0.2592,0.2654,0.2488,0.2509,12302511.3247,47744396.9465,6574357.3125,25514160.0246,792446,0.2577
1748390400000,2025-05-28 00:00:00,ZRX/USDT,0.2635,0.2646,0.2509,0.2592,12649007.1381,49071731.5229,6790775.9452,26344398.1036,788413,0.2578
1748304000000,2025-05-27 00:00:00,ZRX/USDT,0.2598,0.2692,0.2538,0.2636,12162184.4919,46055718.3142,6530834.415,24730757.1909,788524,0.2641
